player	team	pos	avg	pick	diff	fantasy
Adrian Peterson	Min	RB	2.2	1	-1.2	So Many Feels
Matt Forte	Chi	RB	6.1	2	-4.1	Nonnewaug Cheifs
LeSean McCoy	Phi	RB	2.7	3	0.3	Sixth or Seventh Sense
Calvin Johnson	Det	WR	7.4	4	-3.4	Melbourne Bewmers
Jamaal Charles	KC	RB	3.9	5	1.1	House of Pain
Peyton Manning	Den	QB	5.3	6	0.7	Left McNutts
Marshawn Lynch	Sea	RB	7	7	0	Pelvic Sorcery
Demaryius Thomas	Den	WR	13.6	8	-5.6	Team mommy boy
Eddie Lacy	GB	RB	8.3	9	0.7	Guardians of the Fantasy
Arian Foster	Hou	RB	13.4	10	-3.4	Naptown Nappies
DeMarco Murray	Dal	RB	17.2	11	-6.2	Naptown Nappies
Dez Bryant	Dal	WR	16.9	12	-4.9	Guardians of the Fantasy
Brandon Marshall	Chi	WR	20.1	13	-7.1	Team mommy boy
Jimmy Graham	NO	TE	11.2	14	2.8	Pelvic Sorcery
Giovani Bernard	Cin	RB	29.3	15	-14.3	Left McNutts
Aaron Rodgers	GB	QB	10.1	16	5.9	House of Pain
Drew Brees	NO	QB	12.1	17	4.9	Melbourne Bewmers
A.J. Green	Cin	WR	16.6	18	1.4	Sixth or Seventh Sense
Jordy Nelson	GB	WR	24.6	19	-5.6	Nonnewaug Cheifs
Julio Jones	Atl	WR	21.6	20	-1.6	So Many Feels
Andrew Luck	Ind	QB	34.8	21	-13.8	So Many Feels
Antonio Brown	Pit	WR	30.3	22	-8.3	Nonnewaug Cheifs
Doug Martin	TB	RB	16.1	23	6.9	Sixth or Seventh Sense
Le'Veon Bell	Pit	RB	21.9	24	2.1	Melbourne Bewmers
Alshon Jeffery	Chi	WR	27.8	25	-2.8	House of Pain
Pierre Garcon	Wsh	WR	45.2	26	-19.2	Left McNutts
Zac Stacy	StL	RB	25.3	27	1.7	Pelvic Sorcery
Alfred Morris	Wsh	RB	26.8	28	1.2	Team mommy boy
Randall Cobb	GB	WR	33.2	29	-4.2	Guardians of the Fantasy
Andre Johnson	Hou	WR	35.1	30	-5.1	Naptown Nappies
Julius Thomas	Den	TE	27.6	31	3.4	Naptown Nappies
Vincent Jackson	TB	WR	38.8	32	-6.8	Guardians of the Fantasy
Rob Gronkowski	NE	TE	33.7	33	-0.7	Team mommy boy
Montee Ball	Den	RB	25.5	34	8.5	Pelvic Sorcery
Jordan Cameron	Cle	TE	67.9	35	-32.9	Left McNutts
Andre Ellington	Ari	RB	46	36	-10	House of Pain
Frank Gore	SF	RB	40.5	37	-3.5	Melbourne Bewmers
Larry Fitzgerald	Ari	WR	37.8	38	0.2	Sixth or Seventh Sense
Rashad Jennings	NYG	RB	57.9	39	-18.9	Nonnewaug Cheifs
DeSean Jackson	Wsh	WR	48.1	40	-8.1	So Many Feels
Ray Rice	Bal	RB	61.1	41	-20.1	So Many Feels
Matthew Stafford	Det	QB	33.7	42	8.3	Nonnewaug Cheifs
Jordan Reed	Wsh	TE	116.8	43	-73.8	Sixth or Seventh Sense
Vernon Davis	SF	TE	45.2	44	-1.2	Melbourne Bewmers
Roddy White	Atl	WR	49.8	45	-4.8	House of Pain
Torrey Smith	Bal	WR	62.5	46	-16.5	Left McNutts
Keenan Allen	SD	WR	43.8	47	3.2	Pelvic Sorcery
Nick Foles	Phi	QB	58.2	48	-10.2	Team mommy boy
C.J. Spiller	Buf	RB	46.1	49	2.9	Guardians of the Fantasy
Victor Cruz	NYG	WR	47.9	50	2.1	Naptown Nappies
Reggie Bush	Det	RB	31	51	20	Naptown Nappies
Chris Johnson	NYJ	RB	62.9	52	-10.9	Guardians of the Fantasy
T.Y. Hilton	Ind	WR	69.1	53	-16.1	Team mommy boy
Percy Harvin	Sea	WR	50.2	54	3.8	Pelvic Sorcery
Ryan Mathews	SD	RB	45.2	55	9.8	Left McNutts
Ben Tate	Cle	RB	41.6	56	14.4	House of Pain
Michael Crabtree	SF	WR	54.5	57	2.5	Melbourne Bewmers
Russell Wilson	Sea	QB	70.2	58	-12.2	Sixth or Seventh Sense
Toby Gerhart	Jac	RB	61.3	59	-2.3	Nonnewaug Cheifs
Jason Witten	Dal	TE	58.8	60	1.2	So Many Feels
Steven Jackson	Atl	RB	79.4	61	-18.4	So Many Feels
Michael Floyd	Ari	WR	69.4	62	-7.4	Nonnewaug Cheifs
Emmanuel Sanders	Den	WR	66.4	63	-3.4	Sixth or Seventh Sense
Reggie Wayne	Ind	WR	75.3	64	-11.3	Melbourne Bewmers
Cordarrelle Patterson	Min	WR	62	65	3	House of Pain
Dennis Pitta	Bal	TE	86.4	66	-20.4	Left McNutts
Cam Newton	Car	QB	47.9	67	19.1	Pelvic Sorcery
Pierre Thomas	NO	RB	90	68	-22	Team mommy boy
Joique Bell	Det	RB	69.3	69	-0.3	Guardians of the Fantasy
Wes Welker	Den	WR	90.5	70	-20.5	Naptown Nappies
Robert Griffin III	Wsh	QB	64.8	71	6.2	Naptown Nappies
Shane Vereen	NE	RB	68.8	72	3.2	Guardians of the Fantasy
Seahawks D/ST	Sea	D/ST	55.5	73	17.5	Team mommy boy
Trent Richardson	Ind	RB	65.2	74	8.8	Pelvic Sorcery
Bengals D/ST	Cin	D/ST	114.3	75	-39.3	Left McNutts
Julian Edelman	NE	WR	67.7	76	8.3	House of Pain
Stevan Ridley	NE	RB	79.7	77	-2.7	Melbourne Bewmers
Jeremy Maclin	Phi	WR	73.3	78	4.7	Sixth or Seventh Sense
Kendall Wright	Ten	WR	91.5	79	-12.5	Nonnewaug Cheifs
Colin Kaepernick	SF	QB	67.1	80	12.9	So Many Feels
Anquan Boldin	SF	WR	95.8	81	-14.8	So Many Feels
Greg Olsen	Car	TE	82.7	82	-0.7	Nonnewaug Cheifs
Panthers D/ST	Car	D/ST	79	83	4	Sixth or Seventh Sense
Marques Colston	NO	WR	78.1	84	5.9	Melbourne Bewmers
Kyle Rudolph	Min	TE	105.2	85	-20.2	House of Pain
Justin Tucker	Bal	K	115.7	86	-29.7	Left McNutts
Bishop Sankey	Ten	RB	82.8	87	4.2	Pelvic Sorcery
Eric Decker	NYJ	WR	86.3	88	1.7	Team mommy boy
Golden Tate	Det	WR	81.8	89	7.2	Guardians of the Fantasy
Mike Wallace	Mia	WR	89.4	90	0.6	Naptown Nappies
Maurice Jones-Drew	Oak	RB	84.9	91	6.1	Naptown Nappies
Philip Rivers	SD	QB	99.7	92	-7.7	Guardians of the Fantasy
Matt Ryan	Atl	QB	84.2	93	8.8	Team mommy boy
Terrance Williams	Dal	WR	97.1	94	-3.1	Pelvic Sorcery
Steve Smith	Bal	WR	118.3	95	-23.3	Left McNutts
Fred Jackson	Buf	RB	100.5	96	-4.5	House of Pain
Tom Brady	NE	QB	62.2	97	34.8	Melbourne Bewmers
Knowshon Moreno	Mia	RB	95.1	98	2.9	Sixth or Seventh Sense
Ben Roethlisberger	Pit	QB	123.2	99	-24.2	Nonnewaug Cheifs
49ers D/ST	SF	D/ST	91.3	100	8.7	So Many Feels
Stephen Gostkowski	NE	K	93.6	101	7.4	So Many Feels
Andre Williams	NYG	RB	139.1	102	-37.1	Nonnewaug Cheifs
Aaron Dobson	NE	WR	170	103	-67	Sixth or Seventh Sense
Broncos D/ST	Den	D/ST	91.4	104	12.6	Melbourne Bewmers
Jay Cutler	Chi	QB	105.2	105	-0.2	House of Pain
Tony Romo	Dal	QB	97.7	106	8.3	Left McNutts
Cecil Shorts	Jac	WR	105.6	107	1.4	Pelvic Sorcery
DeAngelo Williams	Car	RB	102.5	108	5.5	Team mommy boy
Steven Hauschka	Sea	K	119.4	109	-10.4	Guardians of the Fantasy
Sammy Watkins	Buf	WR	95.2	110	14.8	Naptown Nappies
Chiefs D/ST	KC	D/ST	117.2	111	-6.2	Naptown Nappies
Cardinals D/ST	Ari	D/ST	123.3	112	-11.3	Guardians of the Fantasy
Nick Novak	SD	K	141.6	113	-28.6	Team mommy boy
Brandin Cooks	NO	WR	118.6	114	-4.6	Pelvic Sorcery
Chris Ivory	NYJ	RB	121.3	115	-6.3	Left McNutts
Justin Hunter	Ten	WR	131.8	116	-15.8	House of Pain
Riley Cooper	Phi	WR	108.9	117	8.1	Melbourne Bewmers
DeAndre Hopkins	Hou	WR	111.6	118	6.4	Sixth or Seventh Sense
Mike Evans	TB	WR	122	119	-3	Nonnewaug Cheifs
Danny Amendola	NE	WR	116.4	120	3.6	So Many Feels
Roy Helu	Wsh	RB	147.4	121	-26.4	So Many Feels
Danny Woodhead	SD	RB	107.7	122	14.3	Nonnewaug Cheifs
Terrance West	Cle	RB	137.3	123	-14.3	Sixth or Seventh Sense
Greg Jennings	Min	WR	121.7	124	2.3	Melbourne Bewmers
Darren Sproles	Phi	RB	95.6	125	29.4	House of Pain
Antonio Gates	SD	TE	122.9	126	3.1	Left McNutts
Rueben Randle	NYG	WR	136.7	127	-9.7	Pelvic Sorcery
Darren McFadden	Oak	RB	125.8	128	2.2	Team mommy boy
Patriots D/ST	NE	D/ST	123.8	129	5.2	Guardians of the Fantasy
Martellus Bennett	Chi	TE	114.1	130	15.9	Naptown Nappies
Jeremy Hill	Cin	RB	127.8	131	3.2	Naptown Nappies
Zach Ertz	Phi	TE	124.2	132	7.8	Guardians of the Fantasy
Delanie Walker	Ten	TE	142.3	133	-9.3	Team mommy boy
Rams D/ST	StL	D/ST	113.8	134	20.2	Pelvic Sorcery
Dwayne Bowe	KC	WR	122.9	135	12.1	Left McNutts
Carlos Hyde	SF	RB	125.6	136	10.4	House of Pain
Bernard Pierce	Bal	RB	127.5	137	9.5	Melbourne Bewmers
Alex Smith	KC	QB	123.1	138	14.9	Sixth or Seventh Sense
Mason Crosby	GB	K	122.7	139	16.3	Nonnewaug Cheifs
Heath Miller	Pit	TE	135.7	140	4.3	So Many Feels
Ravens D/ST	Bal	D/ST	141.5	141	-0.5	So Many Feels
Coby Fleener	Ind	TE	136.3	142	5.7	Nonnewaug Cheifs
Tavon Austin	StL	WR	136.5	143	6.5	Sixth or Seventh Sense
Tim Wright	NE	TE	141.1	144	2.9	Melbourne Bewmers
Buccaneers D/ST	TB	D/ST	143.6	145	1.4	House of Pain
Texans D/ST	Hou	D/ST	135	146	11	Left McNutts
Andy Dalton	Cin	QB	118.9	147	28.1	Pelvic Sorcery
Saints D/ST	NO	D/ST	136.6	148	11.4	Team mommy boy
Lamar Miller	Mia	RB	113.9	149	35.1	Guardians of the Fantasy
Shonn Greene	Ten	RB	129.8	150	20.2	Naptown Nappies
Phil Dawson	SF	K	134.8	151	16.2	Naptown Nappies
James Jones	Oak	WR	141.1	152	10.9	Guardians of the Fantasy
Nick Folk	NYJ	K	151.5	153	1.5	Team mommy boy
Adam Vinatieri	Ind	K	137.1	154	16.9	Pelvic Sorcery
Blair Walsh	Min	K	145.8	155	9.2	Left McNutts
Brandon McManus	Den	K	150.5	156	5.5	House of Pain
Dan Bailey	Dal	K	143.8	157	13.2	Melbourne Bewmers
Robbie Gould	Chi	K	147.9	158	10.1	Sixth or Seventh Sense
Bills D/ST	Buf	D/ST	147.1	159	11.9	Nonnewaug Cheifs
Mark Ingram	NO	RB	126	160	34	So Many Feels
